Hotel_Address;Additional_Number_of_Scoring;Review_Date;Average_Score;Hotel_Name;Reviewer_Nationality;Negative_Review;Review_Total_Negative_Word_Counts;Total_Number_of_Reviews;Positive_Review;Review_Total_Positive_Word_Counts;Total_Number_of_Reviews_Reviewer_Has_Given;Reviewer_Score;Tags;days_since_review;lat;lng
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;8/3/2017;8.5;K K Hotel George; Ireland ; Really nothing negative to say about this hotel;9;1831; Very comfortable beds smart bathroom good shower Lovely facilities garden an absolute delight friendly staff quiet location;18;2;9.6;[' Leisure trip ', ' Group ', ' Classic Twin Room ', ' Stayed 3 nights '];0 days;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;8/2/2017;8.5;K K Hotel George; United States of America ;No coffee or tea in the room or lobby No one to help with our bags from Tax into the Hotel No handicapped access At 80 years old it was very difficult for me to lug two large suit cases up the 12 oursidestairs and then up into the lobby;52;1831;No Positive;0;1;7.1;[' Leisure trip ', ' Couple ', ' Classic Twin Room ', ' Stayed 2 nights '];1 days;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;7/20/2017;8.5;K K Hotel George; United States of America ; Room was pretty small for the three of us ;11;1831; The staff was very friendly and helpful in organizing our daytime activities Hotel located in a quiet area but very close to subway and restaurants ;27;3;9.2;[' Leisure trip ', ' Family with young children ', ' Executive King Room ', ' Stayed 6 nights '];14 days;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;7/19/2017;8.5;K K Hotel George; Australia ; Nothing really ;4;1831; We stayed at the hotel at a friend s recommendation It has great access to public transport and plenty of shops and places to eat close by Laundrette around the corner is also a bonus for long term travellers who need to freshen things up having access to the back garden was an added bonus for lovely summer evenings Would definitely stay there again ;66;15;9.6;[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights '];15 days;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;7/18/2017;8.5;K K Hotel George; United States of America ;Only cab service to airport is expensive compared to others 48 pounds plus tip;16;1831;Super location on Division underground line direct to Heathrow and central London Older facility but very accommodating staff Good breakfast many restaurant stores 1 2 block away Bathroom was tiny with no fan or ventilation so it got warmish Quite comfy but small rooms Beautiful garden in back Overall a great value for London Would stay here again;60;1;8.3;[' Leisure trip ', ' Group ', ' Classic Twin Room ', ' Stayed 6 nights '];16 days;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;7/10/2017;8.5;K K Hotel George; United States of America ; London hotel rooms are very small There was very little storage Would have liked to have some drawers however small for storage ;24;1831; Breakfast buffet was more than satisfactory Plenty of choices for all Bed was very comfortable Bathroom shower was powerful and plenty of hot water Location could not have been better Very short walk to underground Beautiful gardens at the rear of hotel Very quiet in spite of being close to Earl s Court Rd Staff was friendly and helpful Everyone was very easy to deal with ;68;2;9.2;[' Leisure trip ', ' Couple ', ' Classic Twin Room ', ' Stayed 4 nights '];24 days;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;7/6/2017;8.5;K K Hotel George; Australia ; The room for three people was on the small side ;12;1831; There was a beautiful garden at the back of the property where guests could relax in the sunshine read order a drink etc A great location very close to Earls Court restaurants and tube Good breakfast ;38;4;9.6;[' Leisure trip ', ' Group ', ' Classic Triple Room ', ' Stayed 4 nights '];28 days;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;6/30/2017;8.5;K K Hotel George; United Kingdom ;Room wasn t ready on arrival after travelling from Leeds to London and phoning 2hours away to reserve parking Rude receptionist to girlfriend about parking as it wasn t our fault someone had taken our space We arrived at 16 00 and our room wasn t ready so was given a complimentary drink each and half an hour later still wasn t ready and being told it would be a further 40minutes Just wasn t good enough as we were only staying for 1 night and had a concert to go to;94;1831; Fantastic location very clean room someone called Leanne I think on reception was helpful and kind Breakfast was lovely great choice ;23;3;5.8;[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device '];34 days;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;6/27/2017;8.5;K K Hotel George; United Kingdom ;Our room allocated wasn t up to our expectations bathroom was to small when you opened bathroom door you banged into the toilet We had to require a different room at an extra cost of 30 a night;40;1831; Breakfast was excellent Staff in the restaurant were very pleasant especially the lady who took our room numbers showed us to our table ;25;3;6.7;[' Leisure trip ', ' Group ', ' Classic Triple Room ', ' Stayed 4 nights ', ' Submitted from a mobile device '];37 days;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;6/27/2017;8.5;K K Hotel George; United Kingdom ; The cooked elements of breakfast could have been better but the continental selection was very good ;18;1831; The garden was a bonus Lovely area to have some quiet time and enjoy a drink Secure parking was also a good feature ;25;12;8.3;[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device '];37 days;51.4918878;-0.1949706
